,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
1984,Maruti Swift Dzire LDI,2013,525000,100000,1,Individual,1,1,23.4,1248,74.0,5.0
1985,Maruti Omni 8 Seater BSIV,2012,160000,62000,0,Individual,1,1,14.0,796,35.0,5.0
1986,Mahindra XUV500 W8 AWD,2014,825000,110000,1,Individual,1,1,15.1,2179,140.0,7.0
1987,Chevrolet Tavera Neo 3 LS 9 Str BSIII,2015,600000,80000,1,Individual,1,2,13.58,2499,72.4,9.0
1988,Maruti Zen Base,2002,65000,80000,0,Individual,1,2,17.3,993,60.0,5.0
1989,Maruti Swift Dzire VDI,2013,550000,100000,1,Individual,1,1,23.4,1248,74.0,5.0
1990,Mahindra Bolero 2011-2019 Plus - AC BSIII,2015,650000,120000,1,Individual,1,1,15.96,2523,63.0,9.0
1991,Maruti Swift Dzire VDI,2019,750000,24000,1,Individual,1,1,28.4,1248,74.02,5.0
1992,Mahindra KUV 100 mFALCON D75 K8,2017,380000,80000,1,Individual,1,1,25.32,1198,77.0,6.0
1993,Hyundai Verna 1.6 SX CRDi (O),2012,400000,138000,1,Individual,1,1,22.32,1582,126.32,5.0
1994,Maruti Wagon R LXI,2003,50000,147000,0,Individual,1,3,18.9,998,67.1,5.0
1995,Mahindra TUV 300 mHAWK100 T8 Dual Tone,2017,750000,60000,1,Individual,1,1,18.49,1493,100.0,7.0
1996,Chevrolet Spark 1.0 LS,2011,150000,80000,0,Individual,1,1,18.0,995,62.0,5.0
1997,Maruti Alto 800 LXI,2016,245000,50000,0,Individual,1,1,22.74,796,47.3,5.0
1998,Tata Manza Club Class Quadrajet90 VX,2013,260000,189000,1,Individual,1,1,21.02,1248,88.76,5.0
1999,Volkswagen Vento 1.5 TDI Highline AT,2014,411000,90000,1,Individual,0,2,21.21,1498,103.2,5.0
2000,Hyundai i20 Sportz 1.4 CRDi,2014,450000,56000,1,Individual,1,1,21.9,1396,88.76,5.0
2001,BMW 3 Series 320d Luxury Line,2012,1300000,140000,1,Individual,0,2,18.88,1995,184.0,5.0
2002,Maruti Celerio VXI,2016,351000,60000,0,Individual,1,1,23.1,998,67.04,5.0
2003,Mahindra XUV500 W8 4WD,2012,550000,130000,1,Individual,1,1,15.1,2179,140.0,7.0
2004,BMW 3 Series 320d Luxury Plus,2013,1300000,140000,1,Individual,0,2,18.88,1995,184.0,5.0
2005,Tata Manza Club Class Quadrajet90 VX,2013,260000,189000,1,Individual,1,1,21.02,1248,88.76,5.0
2006,Volkswagen Vento 1.5 TDI Highline AT,2014,411000,90000,1,Individual,0,2,21.21,1498,103.2,5.0
2007,Hyundai i20 Sportz 1.4 CRDi,2014,450000,56000,1,Individual,1,1,21.9,1396,88.76,5.0
2008,BMW 3 Series 320d Luxury Line,2012,1300000,140000,1,Individual,0,2,18.88,1995,184.0,5.0
2009,Maruti Celerio VXI,2016,351000,60000,0,Individual,1,1,23.1,998,67.04,5.0
2010,Mahindra XUV500 W8 4WD,2012,550000,130000,1,Individual,1,1,15.1,2179,140.0,7.0
2011,BMW 3 Series 320d Luxury Plus,2013,1300000,140000,1,Individual,0,2,18.88,1995,184.0,5.0
2012,Nissan Terrano XE 85 PS,2016,750000,35000,1,Individual,1,1,20.45,1461,83.8,5.0
2013,Nissan Terrano XL 85 PS,2015,800000,35000,1,Individual,1,1,20.45,1461,83.8,5.0
2014,Tata New Safari DICOR 2.2 EX 4x2,2011,350000,156000,1,Individual,1,1,11.57,2179,138.1,7.0
2015,Maruti Alto 800 LX,2013,200000,90000,0,Individual,1,1,22.74,796,47.3,5.0
2016,Tata Indigo LS,2008,150000,60000,1,Individual,1,3,17.0,1405,70.0,5.0
2017,Nissan Terrano XL 110 PS,2016,800000,36000,1,Individual,1,1,19.01,1461,108.5,5.0
2018,Hyundai EON Era Plus Sports Edition,2017,350000,20000,0,Individual,1,2,21.1,814,55.2,5.0
2019,Tata New Safari DICOR 2.2 VX 4x2,2011,350000,160000,1,Individual,1,1,13.93,2179,138.0,7.0
2020,Mahindra Scorpio 2.6 Turbo 9 Str,2006,250000,185000,1,Individual,1,1,12.7,2609,116.6,9.0
2021,Tata Indica Vista Terra 1.4 TDI,2010,170000,110000,1,Individual,1,2,17.0,1405,71.0,5.0
2022,Renault KWID RXT Optional,2018,395000,10800,0,Individual,1,1,25.17,799,53.3,5.0
2023,Mahindra Bolero 2011-2019 SLE,2012,450000,120000,1,Individual,1,1,15.96,2523,62.1,7.0
2024,Maruti Ignis 1.2 Delta BSIV,2019,500000,15000,0,Individual,1,1,20.89,1197,81.8,5.0
2025,Tata Sumo EX 10/7 Str BSIII,2012,200000,67500,1,Individual,1,1,12.2,1948,68.0,10.0
2026,Tata Hexa XM,2017,1200000,30000,1,Individual,1,1,17.6,2179,153.86,7.0
2027,Mahindra KUV 100 mFALCON D75 K8,2016,400000,50000,1,Individual,1,1,25.32,1198,77.0,6.0
2028,Mahindra TUV 300 T8,2016,650000,100000,1,Individual,1,1,18.49,1493,100.0,7.0
2029,Mahindra Bolero 2011-2019 DI - AC BS III,2016,550000,150000,1,Individual,1,1,15.96,2523,63.0,9.0
2030,Mahindra XUV500 W10 2WD,2015,1100000,110000,1,Individual,1,1,16.0,2179,140.0,7.0
2031,Maruti Alto 800 LXI,2012,254999,30000,0,Individual,1,1,22.74,796,47.3,5.0
2032,Maruti Alto LXi,2011,180000,60000,0,Individual,1,1,19.7,796,46.3,5.0
2033,Mahindra Xylo D2,2010,160000,255000,1,Individual,1,2,13.0,2489,95.0,8.0
2034,Chevrolet Optra Magnum 2.0 LT BS3,2008,225000,120000,1,Individual,1,2,16.52,1991,123.7,5.0
2035,Maruti Alto 800 LXI,2015,270000,49900,0,Individual,1,2,22.74,796,47.3,5.0
2036,Tata Manza Aura Quadrajet BS IV,2012,310000,86000,1,Individual,1,1,21.12,1248,88.8,5.0
2037,Datsun GO T BSIV,2015,225000,71850,0,Individual,1,1,20.63,1198,67.0,5.0
2038,Fiat Grande Punto EVO 1.3 Dynamic,2015,300000,95000,1,Individual,1,3,21.2,1248,75.0,5.0
2039,Maruti Swift Dzire VXi,2008,250000,70000,0,Individual,1,3,17.5,1298,85.8,5.0
2040,Hyundai EON Sportz,2011,180000,35000,0,Individual,1,1,21.1,814,55.2,5.0
2041,Maruti Swift Dzire VXI,2015,550000,50000,0,Individual,1,1,20.85,1197,83.14,5.0
2042,Mahindra Bolero XL 10 Seater Non AC,2007,300000,120000,1,Individual,1,3,13.6,2523,63.0,7.0
2043,Hyundai Elantra CRDi SX,2015,900000,145000,1,Individual,1,1,22.7,1582,126.2,5.0
2044,Mahindra XUV500 W9 2WD,2018,1530000,40000,1,Individual,1,1,16.0,2179,138.0,7.0
2045,Maruti Baleno Delta 1.3,2015,590000,110000,1,Individual,1,1,27.39,1248,74.0,5.0
2046,Maruti Wagon R LXI DUO BSIII,2008,170000,112000,3,Individual,1,2,17.3,1061,57.5,5.0
2047,Audi A3 35 TDI Premium Plus,2017,2600000,70000,1,Individual,0,1,20.38,1968,143.0,5.0
2048,Maruti Ritz VDi,2016,475000,110000,1,Individual,1,1,23.2,1248,73.94,5.0
2049,Hyundai Grand i10 1.2 CRDi Asta,2018,700000,29000,1,Individual,1,1,24.0,1186,73.97,5.0
2050,Maruti Wagon R VXI BS IV,2011,376000,60000,0,Individual,1,1,18.9,998,67.1,5.0
2051,Maruti 800 Std BSII,2004,75000,46000,0,Individual,1,3,16.1,796,37.0,4.0
2052,Mahindra Scorpio VLS AT 2.2 mHAWK,2012,440000,120000,1,Individual,0,3,11.79,2179,120.0,8.0
2053,Maruti Wagon R VXI Optional,2016,390000,80000,0,Individual,1,1,20.51,998,67.04,5.0
2054,Toyota Innova 2.5 VX 7 STR,2012,725000,159000,1,Individual,1,2,12.8,2494,102.0,7.0
2055,Mahindra Bolero 2011-2019 SLE,2012,325000,110000,1,Individual,1,2,15.96,2523,62.1,7.0
2056,Maruti Alto LXi,2010,170000,75000,0,Individual,1,2,19.7,796,46.3,5.0
2057,Maruti Swift Dzire LDi,2010,215000,120000,1,Individual,1,3,19.3,1248,73.9,5.0
2058,Honda City 1.5 V Inspire,2010,350000,110000,0,Individual,1,3,17.0,1497,118.0,5.0
2059,Chevrolet Spark 1.0 LS,2009,80000,80000,0,Individual,1,3,18.0,995,62.0,5.0
2060,Hyundai EON Magna Plus,2012,195000,80000,0,Individual,1,2,21.1,814,55.2,5.0
2061,Nissan Sunny Diesel XL,2014,335000,71000,1,Dealer,1,1,21.64,1461,84.8,5.0
2062,Mahindra XUV500 W6 2WD,2011,475000,108000,1,Dealer,1,1,16.0,2179,140.0,7.0
2063,Renault Duster 85PS Diesel RxL,2015,484999,75000,1,Dealer,1,1,19.87,1461,83.8,5.0
2064,Maruti Ciaz Delta BSIV,2018,650000,22000,0,Individual,1,2,21.56,1462,103.25,5.0
2065,Audi Q5 3.0 TDI Quattro,2014,1850000,76131,1,Individual,0,1,13.22,2967,241.4,5.0
2066,Hyundai i20 1.2 Asta,2018,700000,30000,0,Individual,1,2,18.6,1197,81.83,5.0
2067,Audi Q7 3.0 TDI Quattro,2014,3000000,65000,1,Individual,0,1,12.07,2967,241.4,7.0
2068,Mahindra Scorpio S3 9 Seater BSIV,2018,900000,60000,1,Individual,1,1,15.4,2523,75.0,7.0
2069,Volkswagen Polo Diesel Highline 1.2L,2013,350000,80000,1,Individual,1,1,22.07,1199,73.9,5.0
2070,Honda Accord V6 AT,2005,285000,80000,0,Individual,0,2,9.0,2997,218.0,5.0
2071,Audi Q7 3.0 TDI Quattro Premium Plus,2012,1850000,70000,1,Individual,0,1,12.07,2967,241.4,7.0
2072,Maruti Vitara Brezza VDi,2017,750000,51777,1,Dealer,1,1,24.3,1248,88.5,5.0
2073,Land Rover Freelander 2 TD4 HSE,2013,1650000,64788,1,Dealer,0,1,0.0,2179,115.0,5.0
2074,Honda Amaze V Petrol BSIV,2018,600000,20000,0,Individual,1,1,19.5,1199,88.76,5.0
2075,Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2018,565000,19000,0,Individual,1,1,18.78,999,75.0,5.0
2076,Daewoo Matiz SS,2000,86000,46951,0,Individual,1,1,18.5,796,53.0,5.0
2077,Datsun GO T BSIV,2016,329000,19000,0,Individual,1,1,20.63,1198,67.0,5.0
2078,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,650000,50000,1,Individual,1,1,22.77,1498,98.59,5.0
2079,Hyundai Creta 1.6 CRDi SX Option,2015,822000,60000,1,Individual,1,1,19.67,1582,126.2,5.0
2080,Renault Duster 110PS Diesel RxL,2013,345000,100000,1,Individual,1,2,19.01,1461,108.45,5.0
2081,Maruti Zen LXI,2001,30000,10000,0,Individual,1,1,17.3,993,60.0,5.0
2082,Maruti Swift VDI,2012,330000,50000,1,Individual,1,2,22.9,1248,74.0,5.0
2083,Maruti Wagon R Stingray VXI,2014,300000,74537,0,Individual,1,2,20.51,998,67.04,5.0
2084,Maruti SX4 ZXI AT,2009,200000,90000,0,Individual,0,2,12.6,1586,103.3,5.0
2085,Chevrolet Spark 1.0,2010,90000,70000,0,Individual,1,2,18.0,995,62.0,5.0
2086,Maruti Wagon R VXI Minor,2010,200000,80000,0,Individual,1,2,18.9,1061,67.0,5.0
2087,Hyundai Xcent 1.1 CRDi SX,2016,550000,35000,1,Individual,1,1,24.4,1120,71.0,5.0
2088,Chevrolet Beat LT,2015,250000,23500,0,Individual,1,1,18.6,1199,76.8,5.0
2089,Honda City i-DTEC VX,2017,975000,82000,1,Individual,1,1,25.6,1498,97.9,5.0
2090,Toyota Innova 2.5 G (Diesel) 8 Seater,2014,900000,100000,1,Individual,1,2,12.99,2494,100.6,8.0
2091,Hyundai i20 1.2 Spotz,2018,610000,15000,0,Individual,1,1,18.6,1197,81.83,5.0
2092,Maruti Baleno Zeta 1.3,2017,620000,30000,1,Individual,1,1,27.39,1248,74.0,5.0
2093,Hyundai Grand i10 Sportz,2016,400000,30000,0,Individual,1,1,18.9,1197,82.0,5.0
2094,Maruti Celerio X ZXI BSIV,2019,500000,11000,0,Individual,1,1,21.63,998,67.0,5.0
2095,Datsun GO Plus T,2017,200000,140000,0,Individual,1,1,19.02,1198,67.05,7.0
2096,Tata Zest Quadrajet 1.3 XM,2016,360000,110000,1,Individual,1,1,23.0,1248,88.7,5.0
2097,Maruti Alto K10 2010-2014 VXI,2012,252000,48000,0,Individual,1,1,20.92,998,67.1,5.0
2098,Maruti Swift VDI,2012,280000,70000,1,Individual,1,2,22.9,1248,74.0,5.0
2099,Maruti Swift VXI 2018,2018,509999,70000,0,Individual,1,2,22.0,1197,81.8,5.0
2100,Mahindra Scorpio 1.99 S6 Plus,2016,1050000,58000,1,Individual,1,1,15.4,1997,120.0,7.0
2101,Maruti Wagon R LXI DUO BSIII,2010,200000,40000,3,Individual,1,3,17.3,1061,57.5,5.0
2102,Maruti Zen LXI,2005,60000,90000,0,Individual,1,2,17.3,993,60.0,5.0
2103,Mahindra Xylo E8 ABS Airbag,2010,320000,40000,1,Individual,1,2,14.0,2498,112.0,7.0
2104,Mahindra Scorpio LX,2013,520000,110000,1,Individual,1,1,12.05,2179,120.0,9.0
2105,Tata New Safari DICOR 2.2 LX 4x2,2007,250000,80000,1,Individual,1,2,11.57,2179,138.1,7.0
2106,Maruti Vitara Brezza ZDi,2017,725000,60000,1,Individual,1,1,24.3,1248,88.5,5.0
2107,Mahindra Bolero 2011-2019 SLX,2015,585000,50000,1,Individual,1,1,15.96,2523,62.1,7.0
2108,Tata Tiago 1.2 Revotron XZ,2017,430000,25000,0,Individual,1,1,23.84,1199,84.0,5.0
2109,Maruti Swift VDI,2011,235000,100000,1,Individual,1,2,22.9,1248,74.0,5.0
2110,Maruti Swift Dzire VDi,2012,350000,52000,1,Individual,1,3,19.3,1248,73.9,5.0
2111,Hyundai i10 Era 1.1,2010,131000,80000,0,Individual,1,3,19.81,1086,68.05,5.0
2112,Honda Amaze VX i-DTEC,2016,450000,85000,1,Individual,1,1,25.8,1498,98.6,5.0
2113,Maruti Vitara Brezza ZDi Plus,2016,750000,83000,1,Individual,1,1,24.3,1248,88.5,5.0
2114,Maruti Alto 800 LXI,2013,200000,50000,0,Individual,1,1,22.74,796,47.3,5.0
2115,Maruti Wagon R LXI Minor,2009,125000,120000,0,Individual,1,3,18.9,1061,67.0,5.0
2116,Mahindra Bolero 2011-2019 SLE,2014,500000,100000,1,Individual,1,1,15.96,2523,62.1,7.0
2117,Maruti Swift VDI,2012,380000,70000,1,Individual,1,3,22.9,1248,74.0,5.0
2118,Maruti Alto LXi,2008,128000,19000,0,Individual,1,1,19.7,796,46.3,5.0
2119,Honda City 1.5 S MT,2009,250000,68600,0,Individual,1,3,17.0,1497,118.0,5.0
2120,Mahindra Bolero Power Plus SLX,2017,690000,60000,1,Individual,1,1,16.5,1493,70.0,7.0
2121,Mahindra Bolero 2011-2019 SLX,2014,650000,65000,1,Individual,1,2,15.96,2523,62.1,7.0
2122,Honda City E,2012,560000,40000,0,Individual,1,2,16.8,1497,116.3,5.0
2123,Maruti Celerio VXI,2016,400000,25000,0,Individual,1,1,23.1,998,67.04,5.0
2124,Maruti Alto K10 LXI,2012,200000,29500,0,Individual,1,1,20.92,998,67.1,5.0
2125,Hyundai Verna VTVT 1.6 SX,2018,950000,13887,0,Individual,1,1,17.0,1591,121.3,5.0
2126,Maruti Alto 800 VXI,2016,300000,50000,0,Individual,1,2,22.74,796,47.3,5.0
2127,Renault KWID RXL,2016,315000,30000,0,Individual,1,2,25.17,799,53.3,5.0
2128,Maruti Alto 800 LXI,2012,220000,100000,0,Individual,1,1,22.74,796,47.3,5.0
2129,Chevrolet Aveo 1.4 LS,2011,130000,60000,0,Individual,1,2,14.49,1399,92.7,5.0
2130,Hyundai i20 Sportz Option 1.4 CRDi,2016,595000,60000,1,Individual,1,2,22.54,1396,88.73,5.0
2131,Tata Indica Vista TDI LS,2011,110000,120000,1,Individual,1,1,19.4,1405,70.0,5.0
2132,Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,680000,13500,0,Individual,1,1,17.0,1497,121.36,5.0
2133,Fiat Grande Punto Active (Diesel),2013,280000,52000,1,Individual,1,1,20.3,1248,75.0,5.0
2134,Maruti Baleno Delta 1.2,2017,530000,30000,0,Individual,1,2,21.4,1197,83.1,5.0
2135,Hyundai Xcent 1.2 Kappa SX Option,2017,610000,14000,0,Individual,1,1,19.1,1197,82.0,5.0
2136,Tata Aria Pure LX 4x2,2014,500000,90000,1,Individual,1,2,15.05,2179,147.9,7.0
2137,Tata Tigor 1.05 Revotorq XM,2018,500000,50000,1,Individual,1,1,24.7,1047,69.0,5.0
2138,Mahindra Xylo D2,2010,250000,120000,1,Individual,1,2,13.0,2489,95.0,8.0
2139,Hyundai EON Magna Plus,2018,325000,10000,0,Individual,1,1,21.1,814,55.2,5.0
2140,Maruti Baleno Delta 1.2,2018,550000,10000,0,Individual,1,1,21.4,1197,83.1,5.0
2141,Maruti Ciaz 1.4 Alpha,2018,720000,25000,0,Individual,1,1,20.73,1373,91.1,5.0
2142,Hyundai Verna VTVT 1.6 SX,2017,950000,20000,0,Individual,1,1,17.0,1591,121.3,5.0
2143,Maruti Swift VDI,2013,350000,60000,1,Individual,1,1,22.9,1248,74.0,5.0
2144,Hyundai Grand i10 1.2 Kappa Sportz Option,2018,500000,40000,0,Individual,1,1,18.9,1197,81.86,5.0
2145,Maruti Swift Dzire VDi,2012,380000,60000,1,Individual,1,1,19.3,1248,73.9,5.0
2146,Hyundai Xcent 1.2 Kappa AT SX Option,2015,380000,50000,0,Individual,0,1,16.9,1197,82.0,5.0
2147,Hyundai Verna VTVT 1.6 SX,2017,900000,20000,0,Individual,1,1,17.0,1591,121.3,5.0
2148,Maruti Alto 800 VXI,2017,295000,35000,0,Individual,1,1,24.7,796,47.3,5.0
2149,Maruti Ciaz VDi Plus SHVS,2016,640000,40000,1,Individual,1,1,28.09,1248,88.5,5.0
2150,Tata Nexon 1.5 Revotorq XZ Plus,2018,790000,60000,1,Individual,1,1,21.5,1497,108.5,5.0
2151,Hyundai Verna 1.6 VTVT S Option,2015,625000,20000,0,Individual,1,1,17.01,1591,121.4,5.0
2152,Ford EcoSport 1.5 Petrol Trend BSIV,2017,604000,30000,0,Individual,1,2,17.0,1497,121.36,5.0
2153,Maruti Alto K10 VXI,2015,315000,29000,0,Individual,1,1,23.95,998,67.05,5.0
2154,Mahindra XUV300 W6 Diesel BSIV,2019,950000,17000,1,Individual,1,1,20.0,1497,115.0,5.0
2155,Maruti Wagon R VXI Plus Optional,2017,400000,50000,0,Individual,1,1,20.51,998,67.04,5.0
2156,Hyundai i20 1.4 Magna AT,2018,700000,42000,0,Individual,0,1,18.6,1368,98.63,5.0
2157,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,700000,120000,1,Individual,1,2,12.8,2494,102.0,8.0
2158,Mahindra Verito 1.5 D4 BSIV,2012,260000,110000,1,Individual,1,1,21.03,1461,65.0,5.0
2159,Tata Indigo CR4,2012,200000,90000,1,Individual,1,1,23.57,1396,70.0,5.0
2160,Maruti Dzire VXI,2020,580000,70000,0,Individual,1,1,23.26,1197,88.5,5.0
2161,Volkswagen Vento IPL II Diesel Trendline,2011,330000,66000,1,Individual,1,2,20.5,1598,105.0,5.0
2162,Hyundai Verna Transform CRDi VGT SX ABS,2011,400000,70000,1,Individual,1,3,16.2,1493,110.0,5.0
2163,Hyundai Creta 1.6 SX Automatic,2018,1350000,5000,0,Individual,0,1,14.8,1591,121.3,5.0
2164,Mahindra Verito 1.5 D4 BSIV,2014,250000,50000,1,Individual,1,2,21.03,1461,65.0,5.0
2165,Skoda Rapid 1.6 MPI Ambition BSIV,2019,725000,25000,0,Individual,1,1,15.41,1598,103.2,5.0
2166,Maruti Swift Dzire Tour LDI,2013,300000,70000,1,Individual,1,1,23.4,1248,74.0,5.0
2167,Maruti 800 AC,2006,120000,40000,0,Individual,1,2,16.1,796,37.0,4.0
2168,Mahindra XUV500 W10 2WD,2016,1175000,110000,1,Individual,1,1,16.0,2179,140.0,7.0
2169,Tata New Safari DICOR 2.2 VX 4x4,2009,380000,150000,1,Individual,1,1,13.93,2179,138.0,7.0
2170,Tata Indica Vista TDI LX,2014,400000,45000,1,Individual,1,1,19.1,1405,70.0,5.0
2171,Tata Indigo LX,2005,140000,90000,1,Individual,1,3,16.1,1405,70.0,5.0
2172,Tata New Safari DICOR 2.2 EX 4x2,2011,229999,140000,1,Individual,1,2,11.57,2179,138.1,7.0
2173,Ford Ikon 1.3 CLXi,2003,110000,83000,0,Individual,1,2,13.8,1299,70.0,5.0
2174,Volkswagen Jetta 2.0L TDI Highline AT,2011,550000,106000,1,Individual,0,2,16.96,1968,138.1,5.0
2175,Chevrolet Aveo U-VA 1.2 LS,2008,150000,60000,0,Individual,1,3,15.26,1150,74.9,5.0
2176,Maruti Omni E MPI STD BS IV,2017,265000,40000,0,Individual,1,2,16.8,796,34.2,8.0
2177,Hyundai i20 1.2 Asta,2011,300000,138000,0,Individual,1,3,17.0,1197,80.0,5.0
2178,Maruti Alto 800 LXI,2015,280000,80000,0,Individual,1,1,22.74,796,47.3,5.0
2179,Hyundai Getz GLS,2005,130000,50000,0,Individual,1,2,15.3,1341,83.0,5.0
2180,Chevrolet Sail 1.2 LS ABS,2015,350000,50000,0,Individual,1,1,18.2,1199,82.4,5.0
2181,Maruti Ritz VXi,2009,200000,120000,0,Individual,1,1,18.5,1197,85.8,5.0
2182,Maruti Swift VXI,2018,550000,24400,0,Individual,1,1,22.0,1197,81.8,5.0
2183,Mahindra Bolero 2011-2019 SLX,2013,400000,60000,1,Individual,1,2,15.96,2523,62.1,7.0
2184,Maruti Ritz VXi (ABS) BS IV,2010,170000,120000,0,Individual,1,2,18.5,1197,85.8,5.0
2185,Hyundai Verna 1.4 CRDi,2015,600000,60000,1,Individual,1,2,24.8,1396,88.7,5.0
2186,Maruti Alto LXi,2011,130000,100000,0,Individual,1,2,19.7,796,46.3,5.0
2187,Maruti 800 AC,2011,100000,120000,0,Individual,1,2,16.1,796,37.0,4.0
2188,Renault KWID RXT,2016,310000,27500,0,Individual,1,1,25.17,799,53.3,5.0
2189,Maruti 800 AC,2007,35000,10000,0,Individual,1,1,16.1,796,37.0,4.0
2190,Hyundai i20 Magna,2010,200000,120000,0,Individual,1,3,18.5,1197,80.0,5.0
2191,Hyundai i20 Sportz 1.4 CRDi,2015,650000,80000,1,Individual,1,1,22.54,1396,88.73,5.0
2192,Tata Indigo eCS GLS,2013,210000,120000,0,Individual,1,1,15.64,1193,64.1,5.0
2193,Hyundai Xcent 1.1 CRDi S Option,2015,509999,90000,1,Individual,1,1,24.4,1120,71.01,5.0
2194,Ford Figo Diesel Celebration Edition,2013,229999,70000,1,Individual,1,1,20.0,1399,68.1,5.0
2195,Renault Duster 110PS Diesel RxZ,2014,409999,188000,1,Individual,1,2,19.01,1461,108.45,5.0
2196,Chevrolet Spark 1.0 LT,2011,130000,67840,0,Individual,1,1,18.0,995,62.0,5.0
2197,Tata Nano CX,2013,95000,30000,0,Individual,1,1,25.4,624,37.48,4.0
2198,Maruti Alto 800 LXI,2016,225000,35000,0,Individual,1,2,22.74,796,47.3,5.0
2199,Maruti Vitara Brezza VDi Option,2017,775000,100000,1,Individual,1,1,24.3,1248,88.5,5.0
2200,Maruti Wagon R VXI BS IV,2017,420000,30000,0,Individual,1,1,20.51,998,67.04,5.0
2201,Hyundai Grand i10 Sportz Celebration Edition,2016,480000,70000,0,Individual,1,1,18.9,1197,82.0,5.0
2202,Mahindra Bolero SLE,2010,260000,380000,1,Individual,1,2,13.6,2523,63.0,7.0
2203,Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2018,600000,15000,0,Individual,1,1,16.2,1199,74.0,5.0
2204,Ford Ikon 1.4 TDCi DuraTorq,2009,140000,140000,1,Individual,1,2,13.8,1399,68.0,5.0
2205,Maruti Omni 8 Seater BSII,2010,130000,120000,0,Individual,1,3,19.7,796,35.0,8.0
2206,Maruti Swift VDI BSIV,2007,195000,112880,1,Dealer,1,1,25.2,1248,74.0,5.0
2207,Tata Indica Vista TDI LS,2013,210000,135000,1,Dealer,1,2,19.4,1405,70.0,5.0
2208,Maruti Wagon R LX,2006,130000,80000,0,Individual,1,3,18.9,998,67.1,5.0
2209,Chevrolet Beat LT,2012,141000,128000,0,Individual,1,3,18.6,1199,79.4,5.0
2210,Mahindra Bolero SLE BSIII,2011,280000,120000,1,Individual,1,1,13.6,2523,63.0,7.0
2211,Maruti SX4 ZXI AT Leather,2010,350000,30000,0,Individual,0,1,12.6,1586,103.2,5.0
2212,Tata Nexon 1.2 Revotron XM,2018,575000,70000,0,Individual,1,1,17.0,1198,108.5,5.0
2213,Hyundai i20 Sportz Option 1.2,2015,550000,41000,0,Individual,1,1,18.6,1197,81.83,5.0
2214,Maruti Alto LX,2006,120000,30000,0,Individual,1,2,19.7,796,46.3,5.0
2215,Maruti Alto K10 VXI,2015,320000,30000,0,Individual,1,1,23.95,998,67.05,5.0
2216,Hyundai Accent Executive,2011,250000,35000,0,Individual,1,1,16.36,1495,93.7,5.0
2217,Maruti SX4 Zxi BSIII,2010,300000,22000,0,Individual,1,1,15.0,1586,104.68,5.0
2218,Maruti Wagon R VXI,2006,250000,70000,0,Individual,1,1,18.9,998,67.1,5.0
2219,Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2018,750000,70000,1,Individual,1,1,16.5,1493,70.0,7.0
2220,Mahindra Scorpio 2.6 CRDe,2005,151000,200000,1,Individual,1,2,10.5,2179,120.0,8.0
2221,Tata Safari DICOR 2.2 EX 4x2,2011,300000,120000,1,Individual,1,1,13.93,2179,138.03,7.0
2222,Maruti Ignis 1.2 Zeta BSIV,2019,577000,3000,0,Individual,1,1,20.89,1197,81.8,5.0
2223,Maruti Alto K10 2010-2014 VXI,2012,229999,50000,0,Individual,1,1,20.92,998,67.1,5.0
2224,Mahindra Bolero 2011-2019 ZLX,2013,500000,50000,1,Individual,1,1,15.96,2523,62.1,7.0
2225,Honda Jazz VX CVT,2019,840000,1500,0,Individual,0,1,18.2,1199,88.7,5.0
2226,Volkswagen Vento 1.5 TDI Highline,2017,900000,74000,1,Individual,1,1,22.27,1498,108.6,5.0
2227,Honda Jazz 1.2 V i VTEC,2017,650000,25000,0,Individual,1,1,18.7,1199,88.7,5.0
2228,Honda Jazz 1.5 VX i DTEC,2016,650000,61915,1,Individual,1,1,27.3,1498,98.6,5.0
2229,Hyundai EON Era Plus,2016,250000,110000,0,Individual,1,1,21.1,814,55.2,5.0
2230,Volkswagen Polo 1.5 TDI Comfortline,2016,550000,70000,1,Individual,1,1,20.14,1498,88.0,5.0
2231,Maruti Swift Ldi BSIII,2007,250000,150000,1,Individual,1,3,17.8,1248,75.0,5.0
2232,Mahindra Quanto C4,2013,350000,110000,1,Individual,1,2,17.21,1493,100.0,7.0
2233,Chevrolet Beat Diesel LT,2014,185000,90000,1,Individual,1,2,25.44,936,56.3,5.0
2234,Ford Figo Petrol Titanium,2010,229999,120000,0,Individual,1,3,15.6,1196,70.0,5.0
2235,Toyota Innova 2.5 G (Diesel) 8 Seater,2016,1000000,65000,1,Individual,1,1,12.99,2494,100.6,8.0
2236,Maruti Wagon R VXI 1.2,2019,490000,10000,0,Individual,1,1,20.52,1197,81.8,5.0
2237,Hyundai i10 Sportz,2009,150000,80000,0,Individual,1,2,20.36,1197,78.9,5.0
2238,Maruti Ertiga VDI,2013,600000,184000,1,Individual,1,1,20.77,1248,88.76,7.0
2239,Maruti Wagon R CNG LXI,2013,270000,80000,2,Individual,1,2,32.52,998,58.33,5.0
